artifact_id,name,role,source_ref,source_commit,producer,consumer,public_private,frozen,audited,current,superseded,safe_path
ART-MULTIPANEL-PRIVATE-INDEX-V4,PUBLIC_PRIVATE_MULTIPANEL_INDEX_V4.json,Historical public-safe V4 index preserved in append-only custody lineage,validation-v2-multipanel-pre-dg05-freeze-001,b1aa08c5ade3730ea12959ee315acf02356dc109,REPRODUCIBILITY,RCC,PUBLIC_SAFE,true,true,false,true,research_control_center/validation_v2/multipanel_pre_dg05/PUBLIC_PRIVATE_MULTIPANEL_INDEX_V4.json
ART-MULTIPANEL-PANEL-REGISTRY-V4,PANEL_REGISTRY_V4.csv,Historical panel registry before final authority closure,validation-v2-multipanel-pre-dg05-freeze-001,b1aa08c5ade3730ea12959ee315acf02356dc109,RESULT_INTEGRITY,RCC,PUBLIC_SAFE,true,true,false,true,research_control_center/validation_v2/evaluation_expansion/PANEL_REGISTRY_V4.csv
ART-MULTIPANEL-TASK-INDEX-V4,IMPLEMENTATION_TASK_INDEX_V4.csv,Historical implementation handoff before final authority closure,validation-v2-multipanel-pre-dg05-freeze-001,b1aa08c5ade3730ea12959ee315acf02356dc109,REPRODUCIBILITY,RCC,PUBLIC_SAFE,true,true,false,true,research_control_center/validation_v2/evaluation_expansion/IMPLEMENTATION_TASK_INDEX_V4.csv
ART-MULTIPANEL-PRIVATE-INDEX-V5,PUBLIC_PRIVATE_MULTIPANEL_INDEX_V5.json,Historical public-safe V5 index preserved in append-only custody lineage,validation-v2-multipanel-pre-dg05-freeze-001,fe4f42c4d40000ab369b5de0e5b0f5e748020dab,REPRODUCIBILITY,RCC,PUBLIC_SAFE,true,true,false,true,research_control_center/validation_v2/multipanel_pre_dg05/PUBLIC_PRIVATE_MULTIPANEL_INDEX_V5.json
ART-MULTIPANEL-PANEL-REGISTRY-V5,PANEL_REGISTRY_V5.csv,Current panel registry after exact authority closure,validation-v2-multipanel-pre-dg05-freeze-001,fe4f42c4d40000ab369b5de0e5b0f5e748020dab,RESULT_INTEGRITY,RCC,PUBLIC_SAFE,true,true,true,false,research_control_center/validation_v2/evaluation_expansion/PANEL_REGISTRY_V5.csv
ART-MULTIPANEL-TASK-INDEX-V5,IMPLEMENTATION_TASK_INDEX_V5.csv,Current implementation handoff index stopping at explicit DG05,validation-v2-multipanel-pre-dg05-freeze-001,fe4f42c4d40000ab369b5de0e5b0f5e748020dab,REPRODUCIBILITY,RCC,PUBLIC_SAFE,true,true,true,false,research_control_center/validation_v2/evaluation_expansion/IMPLEMENTATION_TASK_INDEX_V5.csv
ART-MULTIPANEL-PRIVATE-INDEX-V6,PUBLIC_PRIVATE_MULTIPANEL_INDEX_V6.json,Current public-safe V6 index chaining all prior private and public authorities,validation-v2-multipanel-pre-dg05-freeze-001,fe4f42c4d40000ab369b5de0e5b0f5e748020dab,REPRODUCIBILITY,RCC,PUBLIC_SAFE,true,true,true,false,research_control_center/validation_v2/multipanel_pre_dg05/PUBLIC_PRIVATE_MULTIPANEL_INDEX_V6.json
ART-MULTIPANEL-PRIVATE-INDEX-V7,PUBLIC_PRIVATE_MULTIPANEL_INDEX_V7.json,Current public-safe V7 index binding the exact custody closure authorities,validation-v2-multipanel-pre-dg05-freeze-001,e8ad3a141eb204415079e7415f69167a8d30dbae,REPRODUCIBILITY,RCC,PUBLIC_SAFE,true,true,true,false,research_control_center/validation_v2/multipanel_pre_dg05/PUBLIC_PRIVATE_MULTIPANEL_INDEX_V7.json
ART-MULTIPANEL-INDEPENDENT-QA-V2,INDEPENDENT_QA_V2.md,Independent detector metric custody privacy and frozen-authority QA,validation-v2-multipanel-pre-dg05-freeze-001,b495c83d73f4b29f6e9db2ac2517fb9a8218310d,RESULT_INTEGRITY,RCC,PUBLIC_SAFE,true,true,true,false,research_control_center/validation_v2/multipanel_pre_dg05/INDEPENDENT_QA_V2.md
ART-DG05-EXEC-MANIFEST-V1,DG05_EXECUTABLE_AUTHORITY_MANIFEST_V1.json,Exact executable approval manifest binding unchanged science to production execution authorities,validation-v2-dg05-exec-authority-closure-001,cdfaf4483fae6f86e4658a9a489c0a1e55b80fb6,RESULT_INTEGRITY,RCC,PUBLIC_SAFE,true,true,true,false,research_control_center/validation_v2/dg05_exec_closure/DG05_EXECUTABLE_AUTHORITY_MANIFEST_V1.json
ART-DG05-FULL-SCOPE-V1,FULL_PROCESS_SCOPE_AUTHORITY_V1.json,Full official process and P1 membership authority for HAI23 HAI22 and HAI21,validation-v2-dg05-exec-authority-closure-001,cdfaf4483fae6f86e4658a9a489c0a1e55b80fb6,RESULT_INTEGRITY,RCC,PUBLIC_SAFE,true,true,true,false,research_control_center/validation_v2/dg05_exec_closure/FULL_PROCESS_SCOPE_AUTHORITY_V1.json
ART-DG05-P1-CUSTODIAN-V3,P1_ELIGIBILITY_CUSTODIAN_V3.json,Prospective method-blind full-scope P1 eligibility custodian authority,validation-v2-dg05-exec-authority-closure-001,cdfaf4483fae6f86e4658a9a489c0a1e55b80fb6,RESULT_INTEGRITY,RCC,PUBLIC_SAFE,true,true,true,false,research_control_center/validation_v2/dg05_exec_closure/P1_ELIGIBILITY_CUSTODIAN_V3.json
ART-DG05-DETECTOR-DISPATCH-V1,METHOD_DISPATCH_REGISTRY_V1.json,Exact panel-method dispatch bound to detector subauthorities portfolios and Fusion,validation-v2-dg05-exec-authority-closure-001,cdfaf4483fae6f86e4658a9a489c0a1e55b80fb6,RESULT_INTEGRITY,RCC,PUBLIC_SAFE,true,true,true,false,research_control_center/validation_v2/dg05_exec_closure/METHOD_DISPATCH_REGISTRY_V1.json
ART-DG05-SYNTHETIC-REHEARSAL-V1,SYNTHETIC_DG05_REHEARSAL_V1.json,Synthetic exact production-path two-phase rehearsal with independent result replay,validation-v2-dg05-exec-authority-closure-001,cdfaf4483fae6f86e4658a9a489c0a1e55b80fb6,RESULT_INTEGRITY,RCC,PUBLIC_SAFE,true,true,true,false,research_control_center/validation_v2/dg05_exec_closure/SYNTHETIC_DG05_REHEARSAL_V1.json
ART-DG05-EXEC-CLOSURE-V1,DG05_EXECUTABLE_CLOSURE_AUTHORITY_V1.json,B1-B8 closure authority and exact renewed DG05 executable gate,validation-v2-dg05-exec-authority-closure-001,cdfaf4483fae6f86e4658a9a489c0a1e55b80fb6,RESULT_INTEGRITY,RCC,PUBLIC_SAFE,true,true,true,false,research_control_center/validation_v2/dg05_exec_closure/DG05_EXECUTABLE_CLOSURE_AUTHORITY_V1.json
ART-DG05-RULE-RUNTIME-REGISTRY-V1,RULE_RUNTIME_SUBAUTHORITY_REGISTRY_V1.json,Exact seven Rule-runtime subauthorities binding portfolios relations numeric bytes Formal V4 and pending DG05 V2 runtime use,validation-v2-dg05-exec-authority-closure-001,7df377e6c4ba0770f2137d2b67df2f60972ac8cb,RESULT_INTEGRITY,RCC,PUBLIC_SAFE,true,true,true,false,research_control_center/validation_v2/dg05_exec_closure/RULE_RUNTIME_SUBAUTHORITY_REGISTRY_V1.json
ART-DG05-INDEPENDENT-QA-V1,INDEPENDENT_QA_AUTHORITY_V1.json,Independent B1-B8 replay mutation privacy and frozen-authority QA authority,validation-v2-dg05-exec-authority-closure-001,5926d77dea5a8dddd6de620f13b3e666b11724d6,RESULT_INTEGRITY,RCC,PUBLIC_SAFE,true,true,true,false,research_control_center/validation_v2/dg05_exec_closure/INDEPENDENT_QA_AUTHORITY_V1.json
ART-DG05-PRIVATE-INDEX-V3,PUBLIC_PRIVATE_DG05_EXECUTION_INDEX_V3.json,Public-safe V3 index binding final executable authorities and prospective private namespaces,validation-v2-dg05-exec-authority-closure-001,5926d77dea5a8dddd6de620f13b3e666b11724d6,REPRODUCIBILITY,RCC,PUBLIC_SAFE,true,true,true,false,research_control_center/validation_v2/dg05_exec_closure/PUBLIC_PRIVATE_DG05_EXECUTION_INDEX_V3.json
ART-DG05-V2-PREACCESS-AUDIT,DG05_V2_PREACCESS_AUTHORITY_AUDIT_V1.json,Public-safe V2 approval and pre-access executable metric replay blocker,validation-v2-multipanel-dg05-v2-exec-001,8c937be65fd6c62474eb8a8764b89373f2d648d6,RESULT_INTEGRITY,RCC,PUBLIC_SAFE,true,true,true,false,research_control_center/validation_v2/multipanel_dg05_v2_exec/DG05_V2_PREACCESS_AUTHORITY_AUDIT_V1.json
ART-DG05-V2-INDEPENDENT-PREACCESS-QA,INDEPENDENT_PREACCESS_QA_V1.md,Independent read-only three-panel lineage and complete result replay coverage audit,validation-v2-multipanel-dg05-v2-exec-001,8c937be65fd6c62474eb8a8764b89373f2d648d6,RESULT_INTEGRITY,RCC,PUBLIC_SAFE,true,true,true,false,research_control_center/validation_v2/multipanel_dg05_v2_exec/INDEPENDENT_PREACCESS_QA_V1.md
ART-DG05-V3-METRIC-CONTRACT,METRIC_SURFACE_CONTRACT_V1.json,Exact 228-surface typed completeness contract,validation-v2-dg05-v3-metric-verifier-closure-001,c317ffc06610c7d7dd72f0810ecdd8a673bcd4d3,RESULT_INTEGRITY,RCC,PUBLIC_SAFE,true,true,true,false,research_control_center/validation_v2/dg05_metric_verifier_closure/METRIC_SURFACE_CONTRACT_V1.json
ART-DG05-V3-EXPECTED-SURFACE,EXPECTED_RESULT_SURFACE_V1.json,Deterministically derived exact result-surface census,validation-v2-dg05-v3-metric-verifier-closure-001,c317ffc06610c7d7dd72f0810ecdd8a673bcd4d3,RESULT_INTEGRITY,RCC,PUBLIC_SAFE,true,true,true,false,research_control_center/validation_v2/dg05_metric_verifier_closure/EXPECTED_RESULT_SURFACE_V1.json
ART-DG05-V3-COVERAGE,RESULT_SURFACE_COVERAGE_MATRIX_V1.json,Evidence-derived 228-surface builder verifier fixture mutation and authority-binding coverage matrix,validation-v2-dg05-v3-metric-verifier-closure-001,c317ffc06610c7d7dd72f0810ecdd8a673bcd4d3,RESULT_INTEGRITY,RCC,PUBLIC_SAFE,true,true,true,false,research_control_center/validation_v2/dg05_metric_verifier_closure/RESULT_SURFACE_COVERAGE_MATRIX_V1.json
ART-DG05-V3-EXEC-MANIFEST,DG05_EXECUTABLE_AUTHORITY_MANIFEST_V3.json,Exact-hash V3 executable manifest with full V2 nested predecessor replay and connected metric execution,validation-v2-dg05-v3-metric-verifier-closure-001,c317ffc06610c7d7dd72f0810ecdd8a673bcd4d3,RESULT_INTEGRITY,RCC,PUBLIC_SAFE,true,true,true,false,research_control_center/validation_v2/dg05_metric_verifier_closure/DG05_EXECUTABLE_AUTHORITY_MANIFEST_V3.json
ART-DG05-V3-EXEC-CLOSURE,DG05_EXECUTABLE_CLOSURE_AUTHORITY_V3.json,Complete connected metric-surface executable V3 closure authority,validation-v2-dg05-v3-metric-verifier-closure-001,c317ffc06610c7d7dd72f0810ecdd8a673bcd4d3,RESULT_INTEGRITY,RCC,PUBLIC_SAFE,true,true,true,false,research_control_center/validation_v2/dg05_metric_verifier_closure/DG05_EXECUTABLE_CLOSURE_AUTHORITY_V3.json
ART-DG05-V3-SYNTHETIC-REHEARSAL,SYNTHETIC_DG05_REHEARSAL_V2.json,Connected 72-cell prediction through one-shot custodian 146-scenario denominator and 228-surface verification rehearsal,validation-v2-dg05-v3-metric-verifier-closure-001,c317ffc06610c7d7dd72f0810ecdd8a673bcd4d3,RESULT_INTEGRITY,RCC,PUBLIC_SAFE,true,true,true,false,research_control_center/validation_v2/dg05_metric_verifier_closure/SYNTHETIC_DG05_REHEARSAL_V2.json
ART-DG05-PREACCESS-AUDIT,RESEARCH_STATE_AUDIT_V1.md,Preserved 16-file read-only research and production-readiness audit with NO_GO unchanged,validation-v2-pre-dg05-state-audit-001,4719f3da01c47b61b85365f593a483872a8934a2,RESULT_INTEGRITY,RCC,PUBLIC_SAFE,true,true,true,false,research_control_center/validation_v2/pre_dg05_state_audit/RESEARCH_STATE_AUDIT_V1.md
ART-DG05-PRODUCTION-CLOSURE,IMPLEMENTATION_CLOSURE_REPORT_V1.md,Prospective pre-access production-chain engineering closure with consolidated decision and evidence blockers,validation-v2-dg05-production-chain-closure-001,814eabc49f9fb58205a5fa878eadd49bb0b0c8e3,RESULT_INTEGRITY,RCC,PUBLIC_SAFE,false,true,true,false,research_control_center/validation_v2/dg05_production_chain_closure/IMPLEMENTATION_CLOSURE_REPORT_V1.md
